Time[s], Channel 0, Channel 4, Channel 5, Channel 6, Channel 7
0.000000000000000, 1, 1, 1, 1, 1
1.270409166666667, 0, 1, 1, 1, 1
1.274868500000000, 1, 1, 1, 1, 1
1.279194916666667, 0, 1, 1, 1, 1
1.279782666666667, 1, 1, 1, 1, 1
1.281333583333333, 0, 1, 1, 1, 1
1.281922000000000, 1, 1, 1, 1, 1
1.282429250000000, 0, 1, 1, 1, 1
1.283016166666667, 1, 1, 1, 1, 1
1.284567916666667, 0, 1, 1, 1, 1
1.285155916666667, 1, 1, 1, 1, 1
1.286706750000000, 0, 1, 1, 1, 1
1.287294583333333, 1, 1, 1, 1, 1
1.287802833333333, 0, 1, 1, 1, 1
1.288391000000000, 1, 1, 1, 1, 1
1.288897416666667, 0, 1, 1, 1, 1
1.289484916666667, 1, 1, 1, 1, 1
1.291035166666667, 0, 1, 1, 1, 1
1.291625000000000, 1, 1, 1, 1, 1
1.292133250000000, 0, 1, 1, 1, 1
1.292721416666667, 1, 1, 1, 1, 1
1.293228416666667, 0, 1, 1, 1, 1
1.293816500000000, 1, 1, 1, 1, 1
1.295365833333333, 0, 1, 1, 1, 1
1.295955333333333, 1, 1, 1, 1, 1
1.296463000000000, 0, 1, 1, 1, 1
1.297050500000000, 1, 1, 1, 1, 1
1.297558833333333, 0, 1, 1, 1, 1
1.298146750000000, 1, 1, 1, 1, 1
1.299696166666667, 0, 1, 1, 1, 1
1.300285083333333, 1, 1, 1, 1, 1
1.301834583333333, 0, 1, 1, 1, 1
1.302423500000000, 1, 1, 1, 1, 1
1.302931666666667, 0, 1, 1, 1, 1
1.303519833333333, 1, 1, 1, 1, 1
1.305069250000000, 0, 1, 1, 1, 1
1.305657916666667, 1, 1, 1, 1, 1
1.307207916666667, 0, 1, 1, 1, 1
1.307796500000000, 1, 1, 1, 1, 1
1.308304333333334, 0, 1, 1, 1, 1
1.308891083333333, 1, 1, 1, 1, 1
1.309400000000000, 0, 1, 1, 1, 1
1.309986583333334, 1, 1, 1, 1, 1
1.311536000000000, 0, 1, 1, 1, 1
1.312124666666667, 1, 1, 1, 1, 1
1.313675333333333, 0, 1, 1, 1, 1
1.314263750000000, 1, 1, 1, 1, 1
1.315811916666667, 0, 1, 1, 1, 1
1.316401166666667, 1, 1, 1, 1, 1
1.317951166666667, 0, 1, 1, 1, 1
1.318540416666667, 1, 1, 1, 1, 1
1.320090333333333, 0, 1, 1, 1, 1
1.320678416666667, 1, 1, 1, 1, 1
1.321185416666667, 0, 1, 1, 1, 1
1.321773166666667, 1, 1, 1, 1, 1
1.323322583333334, 0, 1, 1, 1, 1
1.323911750000000, 1, 1, 1, 1, 1
1.325460500000000, 0, 1, 1, 1, 1
1.326050083333334, 1, 1, 1, 1, 1
1.326557333333333, 0, 1, 1, 1, 1
1.327145250000000, 1, 1, 1, 1, 1
1.327652916666667, 0, 1, 1, 1, 1
1.328240500000000, 1, 1, 1, 1, 1
1.328748000000000, 0, 1, 1, 1, 1
1.329336416666667, 1, 1, 1, 1, 1
1.329844166666667, 0, 1, 1, 1, 1
1.330431750000000, 1, 1, 1, 1, 1
1.330938416666667, 0, 1, 1, 1, 1
1.331526166666667, 1, 1, 1, 1, 1
1.332034166666667, 0, 1, 1, 1, 1
1.332622500000000, 1, 1, 1, 1, 1
1.334171250000000, 0, 1, 1, 1, 1
1.334759666666667, 1, 1, 1, 1, 1
1.336309250000000, 0, 1, 1, 1, 1
1.336898333333334, 1, 1, 1, 1, 1
1.338447333333333, 0, 1, 1, 1, 1
1.339036000000000, 1, 1, 1, 1, 1
1.340586666666667, 0, 1, 1, 1, 1
1.341175000000000, 1, 1, 1, 1, 1
1.342724833333333, 0, 1, 1, 1, 1
1.343312833333334, 1, 1, 1, 1, 1
1.343820750000000, 0, 1, 1, 1, 1
1.344408666666667, 1, 1, 1, 1, 1
1.344914500000000, 0, 1, 1, 1, 1
1.345502916666667, 1, 1, 1, 1, 1
1.347052166666667, 0, 1, 1, 1, 1
1.347640833333333, 1, 1, 1, 1, 1
1.348148166666667, 0, 1, 1, 1, 1
1.348736000000000, 1, 1, 1, 1, 1
1.349243500000000, 0, 1, 1, 1, 1
1.349830833333333, 1, 1, 1, 1, 1
1.350338333333333, 0, 1, 1, 1, 1
1.350926333333333, 1, 1, 1, 1, 1
1.351433750000000, 0, 1, 1, 1, 1
1.352021333333334, 1, 1, 1, 1, 1
1.352529083333333, 0, 1, 1, 1, 1
1.353117166666667, 1, 1, 1, 1, 1
1.354666333333333, 0, 1, 1, 1, 1
1.355255083333333, 1, 1, 1, 1, 1
1.356804166666667, 0, 1, 1, 1, 1
1.357393083333333, 1, 1, 1, 1, 1
1.362560083333333, 0, 1, 1, 1, 1
1.367047500000000, 1, 1, 1, 1, 1
1.371356500000000, 0, 1, 1, 1, 1
1.371945333333333, 1, 1, 1, 1, 1
1.373495166666667, 0, 1, 1, 1, 1
1.374084500000000, 1, 1, 1, 1, 1
1.374592166666667, 0, 1, 1, 1, 1
